collected_at,icao24,callsign,latitude,longitude,altitude_m,velocity_ms
2026-09-13 13:47:11,801833,AKJ861Y,15.0966,76.0857,10668.0,226.63
2026-09-13 13:47:11,76cc64,,15.4116,77.9898,10668.0,250.09
2026-09-13 13:47:11,4ba88f,THY6119,15.0955,77.5628,10614.66,250.0
2026-09-13 13:47:11,801461,IGO409,17.4117,80.609,10668.0,217.09
2026-09-13 13:47:11,801587,AKJ587,15.1763,76.097,11277.6,226.04
2026-09-13 13:42:07,8964bb,ETD412,15.0585,78.713,11879.58,241.57
2026-09-13 13:42:07,80149b,IGO970M,18.2901,80.3717,10965.18,242.51
2026-09-13 13:42:07,70c100,,15.6422,76.1191,11887.2,226.02
2026-09-13 13:37:06,80152e,IGO6645,17.3118,80.2648,10363.2,248.22
2026-09-13 13:32:05,8016cc,AXB35E,17.4716,79.8575,11582.4,247.99
2026-09-13 13:32:05,4bb0e6,THY209,15.1479,77.8405,11582.4,265.42
2026-09-13 13:32:05,80149b,IGO970M,19.4699,81.4623,10965.18,245.57
2026-09-13 13:32:05,80152e,IGO6645,17.4997,80.6064,10370.82,247.71
2026-09-13 13:32:05,801595,AXB1812,15.1909,77.556,10660.38,233.07
2026-09-13 13:16:25,801828,IGO1510,17.1635,81.4601,11582.4,245.94
2026-09-13 13:16:25,896749,ABY700,15.0788,78.7024,11582.4,240.65
2026-09-13 13:16:25,896717,ABY824,18.4196,80.9878,10980.42,244.92
2026-09-13 13:16:25,80142b,IGO504,18.0278,80.1545,10972.8,244.5
2026-09-13 13:16:25,70c102,OMA823,15.4086,77.996,10668.0,226.85
2026-09-13 13:11:24,8016cc,AXB35E,19.545,81.5411,11582.4,247.33
2026-09-13 13:11:24,80182a,IGO573Y,19.5383,81.4317,10363.2,244.0
2026-09-13 13:11:24,896717,ABY824,18.2206,81.7158,10965.18,242.94
2026-09-13 13:06:23,80167c,AXB1626,15.0187,76.1687,10668.0,231.36
2026-09-13 13:06:23,8016cc,AXB35E,19.7874,81.7726,11582.4,248.4
2026-09-13 13:06:23,896616,UAE9865,18.2113,81.745,13106.4,257.57
2026-09-13 13:01:21,801606,AXB1216,17.1132,81.7793,10965.18,251.99
2026-09-13 13:01:21,80172e,IGO971P,19.0472,81.5657,10972.8,259.22
2026-09-13 13:01:21,801431,IGO87RT,18.0367,80.1719,10980.42,248.5
2026-09-13 12:56:19,8014e4,IGO6747,17.3703,80.3864,10965.18,252.05
2026-09-13 12:56:19,80172e,IGO971P,19.1933,81.8269,10972.8,258.96
2026-09-13 12:56:19,80141c,IGO403K,18.0374,79.9856,10690.86,243.11
2026-09-13 12:56:19,80154d,IGO235,17.0583,81.6342,11582.4,242.7
2026-09-13 12:56:19,801581,IGO931P,18.0341,80.1718,11582.4,248.03
2026-09-13 12:51:18,8014e4,IGO6747,17.5931,80.8194,10972.8,253.17
2026-09-13 12:51:18,80141c,IGO403K,18.2229,80.1919,10972.8,243.11
2026-09-13 12:51:18,801581,IGO931P,18.1877,80.2983,11582.4,248.03
2026-09-13 12:46:17,8014e4,IGO6747,17.9262,81.4718,10972.8,252.68
2026-09-13 12:41:15,8016a5,,18.2922,80.2708,11475.72,243.86
2026-09-13 12:41:15,80141c,IGO403K,19.6593,81.5173,10972.8,250.11
2026-09-13 12:41:15,801581,IGO931P,19.626,81.4283,11590.02,245.81
2026-09-13 12:36:13,80141c,IGO403K,19.6593,81.5173,10972.8,250.11
2026-09-13 12:36:13,801581,IGO931P,19.7458,81.5219,11582.4,245.7
2026-09-13 12:26:11,8016a5,IGO355W,19.5214,81.405,11582.4,244.65
2026-09-13 12:21:10,8016a5,IGO355W,19.9902,81.799,11582.4,244.56
2026-09-13 12:21:10,80145b,IGO372Y,17.4006,80.4268,10363.2,244.26
2026-09-13 12:16:08,801878,IGO1340,15.077,78.7143,10972.8,245.02
2026-09-13 12:16:08,801458,,16.0452,78.0728,11475.72,224.88
2026-09-13 12:16:08,80145b,IGO372Y,17.6646,80.9078,10347.96,244.01
2026-09-13 12:16:08,80148f,IGO162P,16.7687,81.9191,11285.22,224.51
2026-09-13 12:16:08,70c0fe,,15.0622,78.7053,11574.78,269.41
2026-09-13 12:11:06,80145b,IGO372Y,18.081,81.4316,10363.2,243.78
2026-09-13 12:06:04,801788,IGO5217,15.0639,76.136,10668.0,227.75
2026-09-13 12:06:04,801458,IGO155J,15.179,77.832,9243.06,246.28
2026-09-13 12:05:15,801458,IGO155J,15.179,77.832,9243.06,246.28
