id,collected_at,icao24,callsign,origin_country,latitude,longitude,altitude_m,velocity_ms,heading,on_ground
1,2026-09-13 12:05:15,80162c,AXB184L,India,13.8352,77.7296,5646.42,191.29,13.21,0
2,2026-09-13 12:05:15,801642,AXB1069,India,26.3497,86.3192,9448.8,237.23,99.36,0
3,2026-09-13 12:05:15,801645,AIC4WL,India,28.5605,77.0898,,1.03,11.25,1
4,2026-09-13 12:05:15,80162f,AIC5XK,India,22.6553,73.5361,10972.8,236.05,231.28,0
5,2026-09-13 12:05:15,80163d,IGO127,India,24.6998,89.0517,11277.6,217.89,56.95,0
6,2026-09-13 12:05:15,801648,IGO316H,India,29.8581,77.3989,9395.46,195.76,5.13,0
7,2026-09-13 12:05:15,801657,AIC3KQ,India,29.3335,75.3471,9136.38,211.44,323.41,0
8,2026-09-13 12:05:15,80163f,AIC2GV,India,25.3094,75.2057,11590.02,237.65,200.4,0
9,2026-09-13 12:05:15,80160b,IGO1152,India,28.8857,76.5704,2369.82,131.93,285.61,0
10,2026-09-13 12:05:15,801615,AXB1510,India,26.9939,80.3655,10668.0,233.98,116.23,0
11,2026-09-13 12:05:15,80161c,AXB1784,India,28.558,77.1167,,3.86,104.06,1
12,2026-09-13 12:05:15,801627,AXB1074,India,31.8806,75.5125,9753.6,227.68,15.73,0
13,2026-09-13 12:05:15,801685,AXB1561,India,27.5683,78.9382,8481.06,222.98,111.24,0
14,2026-09-13 12:05:15,801680,AXB1236,India,28.5476,77.0799,228.6,76.62,103.2,0
15,2026-09-13 12:05:15,80167b,AIC2184,India,22.8118,88.2862,9144.0,251.71,235.66,0
16,2026-09-13 12:05:15,80167f,AIC5DM,India,25.5885,76.9097,11155.68,228.44,179.1,0
17,2026-09-13 12:05:15,801698,AXB1001,India,26.4773,90.5146,9448.8,225.73,99.31,0
18,2026-09-13 12:05:15,80164b,IGO6429,India,28.539,77.2043,1303.02,116.46,105.63,0
19,2026-09-13 12:05:15,80164e,AIC3GN,India,28.5615,77.0881,,3.86,64.69,1
20,2026-09-13 12:05:15,80164f,AIC4JT,India,28.637,76.6595,1242.06,99.57,103.75,0
21,2026-09-13 12:05:15,80164c,IGO2449,India,29.8173,76.9904,5478.78,182.75,177.9,0
22,2026-09-13 12:05:15,801659,AIC106,India,27.3366,75.1598,10355.58,229.92,25.02,0
23,2026-09-13 12:05:15,80165c,AXB411,India,10.3202,76.1559,2781.3,151.88,334.74,0
24,2026-09-13 12:05:15,801669,IGO663E,India,26.8819,76.8229,9936.48,222.95,177.62,0
25,2026-09-13 12:05:15,801674,AIC9WQ,India,13.3543,77.949,2453.64,113.17,194.48,0
26,2026-09-13 12:05:15,801678,IGO6485,India,25.2126,84.9457,2834.64,141.26,356.24,0
27,2026-09-13 12:05:15,80168a,AXB1524,India,22.6562,88.4443,,0.77,98.44,1
28,2026-09-13 12:05:15,8014b2,IGO6373,India,28.798,77.3536,3101.34,151.85,296.13,0
29,2026-09-13 12:05:15,8014b0,IGO23EP,India,22.658,73.67,11590.02,232.37,183.17,0
30,2026-09-13 12:05:15,8014e4,IGO6747,India,20.2586,86.8579,10972.8,254.46,243.85,0
31,2026-09-13 12:05:15,8014dd,AIC2381,India,28.6117,76.7787,807.72,95.83,103.66,0
32,2026-09-13 12:05:15,8014da,AIC1DC,India,30.0446,75.1307,7917.18,214.11,1.79,0
33,2026-09-13 12:05:15,8014de,IGO2719,India,21.7717,72.6323,10355.58,231.89,197.03,0
34,2026-09-13 12:05:15,8014f3,AXB1805,India,22.0457,70.947,7010.4,220.22,329.54,0
35,2026-09-13 12:05:15,8014f8,AKJ797G,India,24.3694,81.6283,11277.6,230.42,68.25,0
36,2026-09-13 12:05:15,8014c0,IGO6157,India,23.0564,88.1605,2339.34,144.32,129.65,0
37,2026-09-13 12:05:15,8014bb,IGO6937,India,19.0883,72.8241,579.12,92.14,268.08,0
38,2026-09-13 12:05:15,8014ce,IGO503,India,22.1314,88.3306,5867.4,170.69,32.44,0
39,2026-09-13 12:05:15,801602,AIC4NN,India,22.8674,88.3916,952.5,123.57,140.74,0
40,2026-09-13 12:05:15,80174a,IGO246F,India,22.7488,85.2803,10050.78,222.42,77.44,0
41,2026-09-13 12:05:15,801759,IGO451M,India,13.1892,77.7561,1051.56,75.12,270.78,0
42,2026-09-13 12:05:15,80175a,IGO720F,India,28.6626,76.5376,1920.24,107.05,103.9,0
43,2026-09-13 12:05:15,801778,IGO36AK,India,22.6482,88.4421,,0.45,5.62,1
44,2026-09-13 12:05:15,801741,IGO342T,India,27.4349,81.1754,10965.18,240.35,291.73,0
45,2026-09-13 12:05:15,80172e,IGO971P,India,22.5018,88.0473,4251.96,177.94,241.51,0
46,2026-09-13 12:05:15,801746,IGO6396,India,12.7117,91.382,9144.0,249.58,250.74,0
47,2026-09-13 12:05:15,801752,IGO5316,India,19.3001,72.8466,6393.18,177.24,3.16,0
48,2026-09-13 12:05:15,80173e,IGO603H,India,28.5665,76.9918,670.56,76.24,103.66,0
49,2026-09-13 12:05:15,801788,IGO5217,India,15.3136,75.8858,10668.0,228.1,135.64,0
50,2026-09-13 12:05:15,80177e,IGO1064,India,19.1887,91.7087,10363.2,250.84,297.88,0
51,2026-09-13 12:05:15,800462,AIC114,India,23.6987,72.0447,11887.2,244.74,61.23,0
52,2026-09-13 12:05:15,8016a3,IGO59P,India,17.9821,85.034,10668.0,228.37,39.61,0
53,2026-09-13 12:05:15,8016a4,IGO6692,India,26.7474,81.0399,7703.82,221.0,274.94,0
54,2026-09-13 12:05:15,8016b7,IGO6132,India,29.9043,75.2456,9753.6,246.08,2.16,0
55,2026-09-13 12:05:15,8016b8,IGO326,India,24.9956,89.5541,10660.38,220.17,57.02,0
56,2026-09-13 12:05:15,8016b5,IGO6911,India,18.8054,83.0403,10675.62,219.26,60.79,0
57,2026-09-13 12:05:15,8016b9,IGO305F,India,28.7677,76.472,2133.6,103.13,138.44,0
58,2026-09-13 12:05:15,8015c9,IGO239V,India,24.5637,85.232,11041.38,225.3,124.02,0
59,2026-09-13 12:05:15,8015d3,IGO973,India,13.1459,79.5198,6202.68,182.04,284.23,0
60,2026-09-13 12:05:15,8015cb,IGO231H,India,13.4394,77.9882,3360.42,154.46,188.43,0
61,2026-09-13 12:05:15,8015d8,IGO6104,India,14.2036,77.2524,8084.82,222.68,337.88,0
62,2026-09-13 12:05:15,8015ad,IGO664E,India,13.7612,80.9627,7726.68,222.3,43.97,0
63,2026-09-13 12:05:15,8015ab,AKJ1851,India,26.29,90.6638,9144.0,217.64,280.49,0
64,2026-09-13 12:05:15,8015b8,IGO2021,India,28.559,77.0889,,0.0,278.44,1
65,2026-09-13 12:05:15,8015e6,IGO461W,India,26.2828,86.6999,11285.22,230.65,98.85,0
66,2026-09-13 12:05:15,8015db,IGO6165,India,26.2832,74.1254,10370.82,231.65,191.66,0
67,2026-09-13 12:05:15,8015f3,IGO5275,India,24.9259,85.7318,11353.8,243.54,232.98,0
68,2026-09-13 12:05:15,8015f7,AIC9HA,India,19.2139,72.7699,2537.46,153.47,5.39,0
69,2026-09-13 12:05:15,8015ed,IGO7627,India,28.2235,78.3928,3627.12,148.48,266.23,0
